original_index,agentRate,wizardSuccess,intent,absent_n,composite,text,ville_depart,ville_destination,date_depart,date_retour,budget
0,4.0,True,book,1,a_definir_apres_selection,"I'd like to book a trip to Atlantis from Caprica on Saturday, August 13, 2016 for 8 adults. I have a tight budget of 1700.",Caprica,Atlantis,"Saturday, August 13, 2016",,1700
7,3.0,True,book,2,a_definir_apres_selection,"Hello, I am looking to book a vacation from Gotham City to Mos Eisley for $2100.",Gotham City,Mos Eisley,,,2100
11,3.0,True,,3,a_definir_apres_selection,Would any packages to Mos Eisley be available if I increase my budget to $2500?,,Mos Eisley,,,$2500
13,3.0,True,,4,a_definir_apres_selection,"You know what, I'd like to try and visit Neverland",,Neverland,,,
21,3.0,True,,5,a_definir_apres_selection,What would the price be if I shortened my trip by one day?,,,,,
27,2.0,False,book,4,a_definir_apres_selection,"Hello there i am looking to go on a vacation with my family to Gotham City, can you help me?",,Gotham City,,,
29,2.0,False,,4,a_definir_apres_selection,"Not sure when we want to leave, but we are 12 kids and 5 adults",,,-1,,
31,2.0,False,,4,a_definir_apres_selection,"yes i do, it is around $2200",,,,,$2200
33,2.0,False,,4,a_definir_apres_selection,We are from Neverland,Neverland,,,,
35,2.0,False,,4,a_definir_apres_selection,we can depart from Toronto,Toronto,,,,
37,2.0,False,,4,a_definir_apres_selection,hmm what options would i have out of Toronto?,Toronto,,,,
48,5.0,True,book,1,a_definir_apres_selection,"Hi I'd like to go to Caprica from Busan, between Sunday August 21, 2016 and Wednesday August 31, 2016",Busan,Caprica,"Sunday August 21, 2016","Wednesday August 31, 2016",
50,5.0,True,,4,a_definir_apres_selection,Actually it's unlimited for this trip,,,,,-1
52,5.0,True,,5,a_definir_apres_selection,2 adults,,,,,
54,5.0,True,,4,a_definir_apres_selection,Do you have anything for San Antonio as a destination?,,San Antonio,,,
61,5.0,True,book,2,a_definir_apres_selection,"Hello, I am looking to book a trip for 2 adults and 6 children for $21,300 or less. We are departing from Kochi for Denver.",Kochi,Denver,,,"$21,300"
70,3.0,True,book,3,a_definir_apres_selection,"Hey, i Want to go to St. Louis on the 17th of August",,St. Louis,17th of August,,
72,3.0,True,,4,a_definir_apres_selection,I need to back by the 31st,,,,31st,
74,3.0,True,,4,a_definir_apres_selection,I’m from Calgary,Calgary,,,,
78,3.0,True,,5,a_definir_apres_selection,"That sounds lavish, what type of flight would that be?",,,,,
80,3.0,True,,5,a_definir_apres_selection,Are there any possible flights with economy class?,,,,,
85,4.0,False,book,1,a_definir_apres_selection,"I'm looking for a trip to Gotham City leaving from Kakariko Village on Saturday, August 13, 2016. 3 adults for no more than $2400 USD.",Kakariko Village,Gotham City,"Saturday, August 13, 2016",,$2400 USD
87,4.0,False,,4,a_definir_apres_selection,I'd like to adjust the departure city to Caprica.,Caprica,,,,
89,4.0,False,,2,a_definir_apres_selection,"The dates cannot be changed. How about going to Theed with 14 adults, leaving from Kakariko Village, on a budget of $2900?",Kakariko Village,Theed,,,$2900
92,4.0,False,book,2,a_definir_apres_selection,"Hello, I would like to book a 2-week trip leaving from Melbourne on August 27. I would like to go to Mannheim.",Melbourne,Mannheim,August 27,,
94,4.0,False,,4,a_definir_apres_selection,"I do not have a budget, however I would like to pick whichever package is cheapest. Could you offer me the cheapest package for each destination?",,,,,cheapest
